Title,news_url,date_posted
" Video: FG was right to detain Sowore, Dasuki despite court orders - Minister of Justice, Abubakar Malami ",https://www.lindaikejisblog.com/2020/1/video-fg-was-right-to-detain-sowore-dasuki-despite-court-orders-minister-of-justice-abubakar-malami-2.html, by Linda Ikeji at 02/01/20
 Lagos State begins cashless toll-payment on Lekki-Ikoyi link bridge ,https://www.lindaikejisblog.com/2020/1/lagos-state-begins-cashless-toll-payment-on-lekki-ikoyi-link-bridge.html, by Linda Ikeji at 02/01/20
 Pierre-Emerick Aubameyang takes a swipe at Manchester United fans after Arsenal's 2 - 0 win ,https://www.lindaikejisblog.com/2020/1/pierre-emerick-aubameyang-takes-a-swipe-at-manchester-united-fans-after-arsenals-2-0-win.html, by Linda Ikeji at 02/01/20
 Titans are everywhere - Bovi jokingly cries out as his visa application is rejected by US embassy ,https://www.lindaikejisblog.com/2020/1/titans-are-everywhere-bovi-jokingly-cries-out-as-his-visa-application-is-rejected-by-us-embassy.html, by Linda Ikeji at 02/01/20
 Truck crushes four people to death along Lagos-Ibadan expressway ,https://www.lindaikejisblog.com/2020/1/truck-crushes-four-people-to-death-along-lagos-ibadan-expressway.html, by Linda Ikeji at 02/01/20
 Former Cardiff defender Chris Barker found dead on New Year's Day ,https://www.lindaikejisblog.com/2020/1/former-cardiff-defender-chris-barker-found-dead-on-new-years-day.html, by Linda Ikeji at 02/01/20
" Minister of Power, Saleh Mamman speaks on appointment of ex-level 12 official to head rural electrification agency ",https://www.lindaikejisblog.com/2020/1/minister-of-power-saleh-mamman-speaks-on-appointment-of-ex-level-12-official-to-head-rural-electrification-agency-2.html, by Linda Ikeji at 02/01/20
 Two ladies show off their rings to announce their engagement to each other ,https://www.lindaikejisblog.com/2020/1/two-ladies-show-off-their-rings-to-announce-their-engagement-to-each-other.html, by Linda Ikeji at 02/01/20
 Earthquake with the magnitude of 3.9 strikes San Jose in California ,https://www.lindaikejisblog.com/2020/1/earthquake-with-the-magnitude-of-39-strikes-san-jose-in-california-2.html, by Linda Ikeji at 02/01/20
" Femi Falana writes Open Letter to Nigeria’s Attorney-General, Malami, over the detention of El-Zakzaky and wife ",https://www.lindaikejisblog.com/2020/1/femi-falana-writes-open-letter-to-nigerias-attorney-general-malami-over-the-detention-of-el-zakzaky-and-wife.html, by Linda Ikeji at 02/01/20
 Rihanna flaunts her sexy figure in red lingerie (Photos) ,https://www.lindaikejisblog.com/2020/1/rihanna-flaunts-her-sexy-figure-in-red-lingerie-photos-2.html, by Linda Ikeji at 02/01/20
 I sell my body for a living because I'm lazy and can't work - Queen Farcadi speaks on why she went into prostitution ,https://www.lindaikejisblog.com/2020/1/i-sell-my-body-for-a-living-because-im-lazy-and-cant-work-queen-farcadi-speaks-on-why-she-went-into-prostitution.html, by Linda Ikeji at 02/01/20
 'Captain America' actress Mollie Fitzgerald charged with stabbing her mother to death ,https://www.lindaikejisblog.com/2020/1/captain-america-actress-mollie-fitzgerald-charged-with-stabbing-her-mother-to-death-2.html, by Linda Ikeji at 02/01/20
 Man narrates how he protected a drunk woman from getting raped ,https://www.lindaikejisblog.com/2020/1/man-narrates-how-he-protected-a-drunk-woman-from-getting-raped.html, by Linda Ikeji at 02/01/20
 See the burned wreckage of US embassy after Iraq protest in Baghdad (photos) ,https://www.lindaikejisblog.com/2020/1/see-the-burned-wreckage-of-us-embassy-after-iraq-protest-in-baghdad-photos.html, by Linda Ikeji at 02/01/20
 I'm still single - DJ Cuppy ,https://www.lindaikejisblog.com/2020/1/im-still-single-dj-cuppy.html, by Linda Ikeji at 02/01/20
 Vanity fair writer faces backlash after he and another journalist mocked Blue Ivy's look ,https://www.lindaikejisblog.com/2020/1/vanity-fair-writer-faces-backlash-after-he-and-another-journalist-mocked-blue-ivys-look.html, by Linda Ikeji at 02/01/20
" Kwara state government demolishes political home of ex-Senate President, Bukola Saraki's family (photos) ",https://www.lindaikejisblog.com/2020/1/kwara-state-government-demolishes-political-home-of-ex-senate-president-bukola-sarakis-family-photos.html, by Linda Ikeji at 02/01/20
 Borrow wisdom not billions - Reno Omokri tells Buhari's government ,https://www.lindaikejisblog.com/2020/1/borrow-wisdom-not-billions-reno-omokri-tells-buharis-government-2.html, by Linda Ikeji at 02/01/20
 Blue Ivy looks so grown as she poses with mum Beyonce and Meghan Thee Stallion ,https://www.lindaikejisblog.com/2020/1/blue-ivy-looks-so-grown-as-she-poses-with-mum-beyonce-and-meghan-thee-stallion-2.html, by Linda Ikeji at 02/01/20
 Tragedy in Kaduna as mother and her three children die in fire outbreak (photos) ,https://www.lindaikejisblog.com/2020/1/tragedy-in-kaduna-as-mother-and-her-three-children-die-in-fire-outbreak-photos.html, by Linda Ikeji at 02/01/20
 Debate about sexualization of women ensues as Twitter user exposes her boobs while wearing a sheer top (+18) ,https://www.lindaikejisblog.com/2020/1/debate-about-sexualization-of-women-ensues-as-twitter-user-exposes-her-boobs-while-wearing-a-sheer-top-18-2.html, by Linda Ikeji at 02/01/20
 Ray J and Princess Love reveal the name of their newborn son  ,https://www.lindaikejisblog.com/2020/1/ray-j-and-princess-love-reveal-the-name-of-their-newborn-son.html, by Linda Ikeji at 02/01/20
 Three arrested with 300 stolen bags of fertilizer ,https://www.lindaikejisblog.com/2020/1/three-arrested-with-300-stolen-bags-of-fertilizer-2.html, by Linda Ikeji at 02/01/20
 Singer K. Michelle poses topless in new photos ,https://www.lindaikejisblog.com/2020/1/singer-k-michelle-poses-topless-in-new-photos-2.html, by Linda Ikeji at 02/01/20
 Toyin Lawani makes her son hawk fruits on the street for his 6th birthday photoshoot to teach him important values ,https://www.lindaikejisblog.com/2020/1/toyin-lawani-makes-her-son-hawk-fruits-on-the-street-for-his-6th-birthday-photoshoot-to-teach-him-important-values-2.html, by Linda Ikeji at 02/01/20
 Taiwan top general killed in helicopter crash ,https://www.lindaikejisblog.com/2020/1/taiwan-top-general-killed-in-helicopter-crash.html, by Linda Ikeji at 02/01/20
" Actor, Sam Ajibola aka Spiff is engaged (photos) ",https://www.lindaikejisblog.com/2020/1/actor-sam-ajibola-aka-spiff-is-engaged-photos.html, by Linda Ikeji at 02/01/20
" Nigerian VLogger, Ronke Raji, trends on Twitter after announcing she and her husband are expecting their second child months after they welcomed their first ",https://www.lindaikejisblog.com/2020/1/nigerian-vlogger-ronke-raji-trends-on-twitter-after-announcing-she-and-her-husband-are-expecting-their-second-child-months-after-they-welcomed-their-first.html, by Linda Ikeji at 02/01/20
 Supermodel Natalia Vodianova set to marry the son of Billionaire luxury goods mogul Bernard Arnault ,https://www.lindaikejisblog.com/2020/1/supermodel-natalia-vodianova-set-to-marry-the-son-of-billionaire-luxury-goods-mogul-bernard-arnault.html, by Linda Ikeji at 02/01/20
" Google Doodle honours late Nigerian filmmaker, Amaka Igwe on 57th posthumous birthday ",https://www.lindaikejisblog.com/2020/1/google-doodle-honours-late-nigerian-filmmaker-amaka-igwe-on-57th-posthumous-birthday.html, by Linda Ikeji at 02/01/20
 What I ordered vs what I got: Dice cake version ,https://www.lindaikejisblog.com/2020/1/what-i-ordered-vs-what-i-got-dice-cake-version.html, by Linda Ikeji at 02/01/20
 Future and his new girlfriend Lori Harvey spotted celebrating the new year together in Las Vegas (Video) ,https://www.lindaikejisblog.com/2020/1/future-and-his-new-girlfriend-lori-harvey-spotted-celebrating-the-new-year-together-in-las-vegas-video.html, by Linda Ikeji at 02/01/20
" If you ask me for help in 2020, your life will spoil and you will die - BBNaija's Khloe ",https://www.lindaikejisblog.com/2020/1/if-you-ask-me-for-help-in-2020-your-life-will-spoil-and-you-will-die-bbnaijas-khloe.html, by Linda Ikeji at 02/01/20
 Cristiano Ronaldo and his partner Georgina Rodriquez lock lips together as they celebrate the New Year (photos) ,https://www.lindaikejisblog.com/2020/1/cristiano-ronaldo-and-his-partner-georgina-rodriquez-lock-lips-together-as-they-celebrate-the-new-year-photos.html, by Linda Ikeji at 02/01/20
" Delta man butchers his 'mother-in-law' for not allowing him marry her daughter, drinks poison ",https://www.lindaikejisblog.com/2020/1/delta-man-butchers-his-mother-in-law-for-not-allowing-him-marry-her-daughter-drinks-poison.html, by Linda Ikeji at 02/01/20
 North Korea is no longer bound by Nuclear test moratorium - Kim Jong-Un ,https://www.lindaikejisblog.com/2020/1/north-korea-is-no-longer-bound-by-nuclear-test-moratorium-kim-jong-un-2.html, by Linda Ikeji at 02/01/20
 Oldest surviving Nigerian soldier dies at 101 (photos) ,https://www.lindaikejisblog.com/2020/1/oldest-surviving-nigerian-soldier-dies-at-101-photos.html, by Linda Ikeji at 02/01/20
" Bobbi Kristina Brown’s ex-fiancé, Nick Gordon dies on New Year day of ‘drug overdose' ",https://www.lindaikejisblog.com/2020/1/bobbi-kristina-browns-ex-fiance-nick-gordon-dies-on-new-year-day-of-drug-overdose.html, by Linda Ikeji at 02/01/20
 'A conspiracy to murder me has been exposed with solid evidence' - Femi Fani-Kayode alleges ,https://www.lindaikejisblog.com/2020/1/a-conspiracy-to-murder-me-has-been-exposed-with-solid-evidence-femi-fani-kayode-alleges-2.html, by Linda Ikeji at 02/01/20
" You cant do anything, we will unhesitatingly confront & strike you - Iran's Supreme leader responds to Trump's war threats ",https://www.lindaikejisblog.com/2020/1/you-cant-do-anything-we-will-unhesitatingly-confront-strike-you-irans-supreme-leader-responds-to-trumps-war-threats-2.html, by Linda Ikeji at 02/01/20
 Nigerian football legend Jay-Jay Okocha poses with his wife and children for New Year's family photos ,https://www.lindaikejisblog.com/2020/1/nigerian-football-legend-jay-jay-okocha-poses-with-his-wife-and-children-for-new-years-family-photos-2.html, by Linda Ikeji at 02/01/20
" Diego Alonso beats Patrick Vieira to become new coach of David Beckham's new franchise club, Inter Miami ",https://www.lindaikejisblog.com/2020/1/diego-alonso-beats-patrick-vieira-to-become-new-coach-of-david-beckhams-new-franchise-club-inter-miami-2.html, by Linda Ikeji at 02/01/20
" May 2020 bring you abundance of peace and continuous joy - Ooni of Ife's ex-wife, Olori Zaynab wishes her followers a Happy New Year ",https://www.lindaikejisblog.com/2020/1/may-2020-bring-you-abundance-of-peace-and-continuous-joy-ooni-of-ifes-ex-wife-olori-zaynab-wishes-her-followers-a-happy-new-year.html, by Linda Ikeji at 02/01/20
" Amazing Arsenal beat Manchester United 2-0, handing Mikel Arteta his first win as manager (Match round-up photos) ",https://www.lindaikejisblog.com/2020/1/amazing-arsenal-beat-manchester-united-2-0-handing-mikel-arteta-his-first-win-as-manager-match-round-up-photos-2.html, by Linda Ikeji at 02/01/20
 Naira Marley opts for out-of-court settlement over alleged car theft ,https://www.lindaikejisblog.com/2020/1/naira-marley-opts-for-out-of-court-settlement-over-alleged-car-theft.html, by Linda Ikeji at 01/01/20
 Ghanaian government 'evicts' Nigerian High Commission in Accra ,https://www.lindaikejisblog.com/2020/1/ghanaian-government-evicts-nigerian-high-commission-in-accra.html, by Linda Ikeji at 01/01/20
" Fake $10,100, Ferrari, phones recovered from UK jailed alleged fraudster living in Banana Island, Ikoyi ",https://www.lindaikejisblog.com/2020/1/fake-10100-ferrari-phones-recovered-from-uk-jailed-alleged-fraudster-living-in-banana-island-ikoyi.html, by Linda Ikeji at 01/01/20
 There's no evidence Saraki family paid for the land we revoked - Kwara State Government explains ,https://www.lindaikejisblog.com/2020/1/theres-no-evidence-saraki-family-paid-for-the-land-we-revoked-kwara-state-government-explains.html, by Linda Ikeji at 01/01/20
 National dailies get advertorial from presidency but Punch Newspaper conspicuously missing ,https://www.lindaikejisblog.com/2020/1/national-dailies-get-advertorial-from-presidency-but-punch-newspaper-conspicuously-missing.html, by Linda Ikeji at 01/01/20
 Bizzy Bone claims Kanye West's dead mother told him Amber Rose was not the right woman for her son ,https://www.lindaikejisblog.com/2020/1/bizzy-bone-claims-kanye-wests-dead-mother-told-him-amber-rose-was-not-the-right-woman-for-her-son-2.html, by Linda Ikeji at 01/01/20
 Princess Shyngle's curves causes a stir in Pennsylvania ,https://www.lindaikejisblog.com/2020/1/princess-shyngles-curves-causes-a-stir-in-pennsylvania.html, by Linda Ikeji at 01/01/20
" Actress/ Ex Beauty Queen, Ronke Tiamiyu apologizes for posting a video of herself masturbating on Snapchat on New Year's eve ",https://www.lindaikejisblog.com/2020/1/actress-ex-beauty-queen-ronke-tiamiyu-apologizes-for-posting-a-video-of-herself-masturbating-on-snapchat-on-new-years-eve.html, by Linda Ikeji at 01/01/20
 Pope Francis apologizes for slapping woman's hand ,https://www.lindaikejisblog.com/2020/1/pope-francis-apologizes-for-slapping-womans-hand.html, by Linda Ikeji at 01/01/20
" Peruzzi and his fans clash after they accused him of ""audio giveaway"" and for wasting time in fulfilling the promise he made to them ",https://www.lindaikejisblog.com/2020/1/peruzzi-and-his-fans-clash-after-they-accused-him-of-audio-giveaway-and-for-wasting-time-in-fulfilling-the-promise-he-made-to-them.html, by Linda Ikeji at 01/01/20
" When I was on their case, they were crying, now I'm on my own lane enjoying my life, they are still crying - Fayose replies Lauretta Onochie ",https://www.lindaikejisblog.com/2020/1/when-i-was-on-their-case-they-were-crying-now-im-on-my-own-lane-enjoying-my-life-they-are-still-crying-fayose-replies-lauretta-onochie.html, by Linda Ikeji at 01/01/20
