Title,news_url,date_posted
" Xenophobic attacks: President Buhari receives report from Special Envoy sent to South Africa, directs on next steps ",https://www.lindaikejisblog.com/2019/9/xenophobic-attacks-president-buhari-receives-report-from-special-envoy-sent-to-south-africa-directs-on-next-steps.html, by Linda Ikeji at 09/09/19
 Powede Awujo celebrates her husband on their 2nd wedding anniversary ,https://www.lindaikejisblog.com/2019/9/powede-awujo-celebrates-her-husband-on-their-2nd-wedding-anniversary.html, by Linda Ikeji at 09/09/19
 Tribunal upholds Nasir El-Rufai’s election as Kaduna governor ,https://www.lindaikejisblog.com/2019/9/tribunal-upholds-nasir-el-rufais-election-as-kaduna-governor.html, by Linda Ikeji at 09/09/19
 Beg responsibly- AY Makun rebukes Nigerians who beg for money on social media with their bank details ,https://www.lindaikejisblog.com/2019/9/beg-responsibly-ay-makun-rebukes-nigerians-who-beg-for-money-on-social-media-with-their-bank-details.html, by Linda Ikeji at 09/09/19
 Mother pleads guilty to killing her four children with rat poison ,https://www.lindaikejisblog.com/2019/9/mother-pleads-guilty-to-killing-her-four-children-with-rat-poison-2.html, by Linda Ikeji at 09/09/19
" House of Representatives member, Lazarus Ogbee sacked by tribunal ",https://www.lindaikejisblog.com/2019/9/house-of-representatives-member-lazarus-ogbee-sacked-by-tribunal.html, by Linda Ikeji at 09/09/19
 Lionel Messi set to be offered ‘life contract’ at Barcelona ,https://www.lindaikejisblog.com/2019/9/lionel-messi-set-to-be-offered-life-contract-at-barcelona.html, by Linda Ikeji at 09/09/19
" South African government can't prevent xenophobic violence, we are an angry nation - Defence Minister Nosiviwe Mapisa-Nqakula ",https://www.lindaikejisblog.com/2019/9/south-african-government-cant-prevent-xenophobic-violence-we-are-an-angry-nation-defence-minister-nosiviwe-mapisa-nqakula.html, by Linda Ikeji at 09/09/19
 Is there anything wrong in attending your ex's wedding ,https://www.lindaikejisblog.com/2019/9/is-there-anything-wrong-in-attending-your-exs-wedding-2.html, by Linda Ikeji at 09/09/19
" Watch hilarious video of Davido urging Timaya, Soso Soberekon, and Perruzi to go and marry  ",https://www.lindaikejisblog.com/2019/9/watch-hilarious-video-of-davido-urging-timaya-soso-soberekon-and-perruzi-to-go-and-marry.html, by Linda Ikeji at 09/09/19
" Toyin Lawani shares more photos of her handsome Congolese boyfriend DJO Prince, says he's 'a real prince'  ",https://www.lindaikejisblog.com/2019/9/toyin-lawani-shares-more-photos-of-her-handsome-congolese-boyfriend-djo-prince-says-hes-a-real-prince.html, by Linda Ikeji at 09/09/19
 Hilarious conversation between Ubi Franklin and bank fraudster (video) ,https://www.lindaikejisblog.com/2019/9/hilarious-conversation-between-ubi-franklin-and-bank-fraudster-video.html, by Linda Ikeji at 09/09/19
 #Xenophobia: Obasanjo is one of the giants of Africa… what are we doing to his people?- Zulu leader chides angry South Africans ,https://www.lindaikejisblog.com/2019/9/xenophobia-obasanjo-is-one-of-the-giants-of-africa-what-are-we-doing-to-his-people-zulu-leader-chides-angry-south-africans.html, by Linda Ikeji at 09/09/19
 Twitter user warns followers of new method used to lure unsuspecting women into sex trafficking ,https://www.lindaikejisblog.com/2019/9/twitter-user-warns-followers-of-new-method-used-to-lure-unsuspecting-women-into-sex-trafficking-2.html, by Linda Ikeji at 09/09/19
 Bees invade Hon. Agoda's residence 3 days after his triumph at the election petition tribunal ,https://www.lindaikejisblog.com/2019/9/bees-invade-hon-agodas-residence-3-days-after-his-triumph-at-the-election-petition-tribunal.html, by Linda Ikeji at 09/09/19
 Police gun down two suspected armed robbers in Rivers State (graphic photo) ,https://www.lindaikejisblog.com/2019/9/police-gun-down-two-suspected-armed-robbers-in-rivers-state-graphic-photo.html, by Linda Ikeji at 09/09/19
 Nigerian man says he can't marry a woman raised by a single mother because such women are toxic ,https://www.lindaikejisblog.com/2019/9/nigerian-man-says-he-cant-marry-a-woman-raised-by-a-single-mother-because-such-women-are-toxic-2.html, by Linda Ikeji at 09/09/19
 Toyin Lawani reveals she's ready for baby number 3 as she shows off her new man from Congo ,https://www.lindaikejisblog.com/2019/9/toyin-lawani-reveals-shes-ready-for-baby-number-3-as-she-shows-off-her-new-man-from-congo-2.html, by Linda Ikeji at 09/09/19
 I thought of committing suicide after I left office- former Attorney General Mohammed Adoke says ,https://www.lindaikejisblog.com/2019/9/i-thought-of-committing-suicide-after-i-left-office-former-attorney-general-mohammed-adoke-says-2.html, by Linda Ikeji at 09/09/19
 Siasia cries out as kidnappers refuse releasing his mother after paying N1.5m ransom ,https://www.lindaikejisblog.com/2019/9/siasia-cries-out-as-kidnappers-refuse-releasing-his-mother-after-paying-n15m-ransom-2.html, by Linda Ikeji at 09/09/19
 Four people beheaded as renewed hostility between Ebonyi and Benue states claim eight lives ,https://www.lindaikejisblog.com/2019/9/four-people-beheaded-as-renewed-hostility-between-ebonyi-and-benue-states-claim-eight-lives.html, by Linda Ikeji at 09/09/19
" Twitter melts down after President Trump called John Legend a 'boring' musician and said his wife, Chrissy Teigen has a 'filthy mouth' ",https://www.lindaikejisblog.com/2019/9/twitter-melts-down-after-president-trump-called-john-legend-a-boring-musician-and-said-his-wife-chrissy-teigen-has-a-filthy-mouth.html, by Linda Ikeji at 09/09/19
 ''I believe Rashidi Yekini was murdered'' Segun Odegbami ,https://www.lindaikejisblog.com/2019/9/i-believe-rashidi-yekini-was-murdered-segun-odegbami-2.html, by Linda Ikeji at 09/09/19
 Gifty Powers shares nude photo of herself when she was 7 months pregnant ,https://www.lindaikejisblog.com/2019/9/gifty-powers-shares-nude-photo-of-herself-when-she-was-7-months-pregnant-2.html, by Linda Ikeji at 09/09/19
 Nigerian mother's reaction after she found out her unemployed nephew got a girl pregnant is so hilarious ,https://www.lindaikejisblog.com/2019/9/nigerian-mothers-reaction-after-she-found-out-her-unemployed-nephew-got-a-girl-pregnant-is-so-hilarious.html, by Linda Ikeji at 09/09/19
" 17-year-old girl sets herself ablaze over fiance’s inability to pay N17,000 dowry demanded by her father in Zamfara ",https://www.lindaikejisblog.com/2019/9/17-year-old-girl-sets-herself-ablaze-over-fiances-inability-to-pay-n17000-dowry-demanded-by-her-father-in-zamfara.html, by Linda Ikeji at 09/09/19
 Photos: Two male African migrants wearing women’s hijab arrested in Libya ,https://www.lindaikejisblog.com/2019/9/photos-two-male-african-migrants-wearing-womens-hijab-arrested-in-libya.html, by Linda Ikeji at 09/09/19
" Alleged rape: Court summons Biodun Fatoyinbo, Busola Dakolo ",https://www.lindaikejisblog.com/2019/9/alleged-rape-court-summons-biodun-fatoyinbo-busola-dakolo.html, by Linda Ikeji at 09/09/19
 Nigerian doctor gets called out after he revealed what comes to his mind when he sees women in their 30s coming for fertility treatment ,https://www.lindaikejisblog.com/2019/9/nigerian-doctor-gets-called-out-after-he-revealed-what-comes-to-his-mind-when-he-sees-women-in-their-30s-coming-for-fertility-treatment.html, by Linda Ikeji at 09/09/19
" Swae Lee's ex-girlfriend, Marliesia Ortiz arrested for headbutting him ",https://www.lindaikejisblog.com/2019/9/swae-lees-ex-girlfriend-marliesia-ortiz-arrested-for-headbutting-him-2.html, by Linda Ikeji at 09/09/19
 I have no new wife - K1 denies marrying and having a daughter with Aramide Adenle ,https://www.lindaikejisblog.com/2019/9/i-have-no-new-wife-k1-denies-marrying-and-having-a-daughter-with-aramide-adenle.html, by Linda Ikeji at 09/09/19
" John Wesley, ‘The Fresh Prince of Bel Air’ actor dies at 72 ",https://www.lindaikejisblog.com/2019/9/john-wesley-the-fresh-prince-of-bel-air-actor-dies-at-72.html, by Linda Ikeji at 09/09/19
 Roman Goddess flaunts her gigantic backside in new eye-popping photos ,https://www.lindaikejisblog.com/2019/9/roman-goddess-flaunts-her-gigantic-backside-in-new-eye-popping-photos.html, by Linda Ikeji at 09/09/19
" British Airways cancels almost 100% of their UK flights, tell passengers not to turn up at airports as pilots begin strike over salary increase ",https://www.lindaikejisblog.com/2019/9/british-airways-cancels-almost-100-of-their-uk-flights-tell-passengers-not-to-turn-up-at-airports-as-pilots-begin-strike-over-salary-increase.html, by Linda Ikeji at 09/09/19
 'You have been marinated in stupidity' - Yoga Instructor whose workout photo was used as an 'iPhone 11' meme  reacts in anger ,https://www.lindaikejisblog.com/2019/9/you-have-been-marinated-in-stupidity-yoga-instructor-whose-workout-photo-was-used-as-an-iphone-11-meme-reacts-in-anger.html, by Linda Ikeji at 09/09/19
 #Xenophobia: South African Police allegedly shoot Ghanaian footballer in both legs (See photo) ,https://www.lindaikejisblog.com/2019/9/xenophobia-south-african-police-allegedly-shoot-ghanaian-footballer-in-both-legs-see-photo.html, by Linda Ikeji at 09/09/19
 Toyin Lawani shares video showing moment Sir Shina Peters fell while doing the 'Gbese' at his daughter's wedding ,https://www.lindaikejisblog.com/2019/9/toyin-lawani-shares-video-showing-moment-sir-shina-peters-fell-while-doing-the-gbese-at-his-daughters-wedding.html, by Linda Ikeji at 09/09/19
 US Open Final 2019: Rafael Nadal defeats Daniil Medvedev in five-hour epic showdown to win his 19th Grand Slam ,https://www.lindaikejisblog.com/2019/9/us-open-final-2019-rafael-nadal-defeats-daniil-medvedev-in-five-hour-epic-showdown-to-win-his-19th-grand-slam.html, by Linda Ikeji at 09/09/19
" BBNaija: Thelma hails Tacha for saying Seyi is a non-achiever, reveals his comment of her late brother taking her success to the grave affected her mother ",https://www.lindaikejisblog.com/2019/9/bbnaija-thelma-hails-tacha-for-saying-seyi-is-a-non-achiever-reveals-his-comment-of-her-late-brother-taking-her-success-to-the-grave-affected-her-mother.html, by Linda Ikeji at 09/09/19
 Robert Mugabe to be buried on September 15 amid row over burial site ,https://www.lindaikejisblog.com/2019/9/robert-mugabe-to-be-buried-on-september-15-amid-row-over-burial-site.html, by Linda Ikeji at 09/09/19
 Lira Galore shows off her curvaceous body in lingerie pant and bra (Photos) ,https://www.lindaikejisblog.com/2019/9/lira-galore-shows-off-her-curvaceous-body-in-lingerie-pant-and-bra-photos-2.html, by Linda Ikeji at 09/09/19
" Tonto Dikeh's sister pens down tribute to their late mother, 31 years after her death ",https://www.lindaikejisblog.com/2019/9/tonto-dikehs-sister-pens-down-tribute-to-their-late-mother-31-years-after-her-death-2.html, by Linda Ikeji at 09/09/19
" This explanation for ""why people's noses run"" will either amuse or shock you ",https://www.lindaikejisblog.com/2019/9/this-explanation-for-why-peoples-noses-run-will-either-amuse-or-shock-you-2.html, by Linda Ikeji at 09/09/19
" Archaeologists discover ancient skeleton buried with '2,100 year old iPhone' ",https://www.lindaikejisblog.com/2019/9/archaeologists-discover-ancient-skeleton-buried-with-2100-year-old-iphone-2.html, by Linda Ikeji at 09/09/19
" Nigerian filmmaker Joel Kachi Benson wins award at the 2019 Venice Film Festival for his documentary, Daughters of Chibok (video) ",https://www.lindaikejisblog.com/2019/9/nigerian-filmmaker-joel-kachi-benson-wins-award-at-the-2019-venice-film-festival-for-his-documentary-daughters-of-chibok-video-2.html, by Linda Ikeji at 09/09/19
 Kenyan politicians fight in church over control of constituency (video) ,https://www.lindaikejisblog.com/2019/9/kenyan-politicians-fight-in-church-over-control-of-constituency-video.html, by Linda Ikeji at 09/09/19
 Ghanaian man reportedly scams more than 30 women in the US out of $2.1m by posing as a soldier on dating sites ,https://www.lindaikejisblog.com/2019/9/ghanaian-man-reportedly-scams-more-than-30-women-in-the-us-out-of-21m-by-posing-as-a-soldier-on-dating-sites.html, by Linda Ikeji at 09/09/19
 Moment Oluwo of Iwoland stopped rain from falling (video) ,https://www.lindaikejisblog.com/2019/9/moment-oluwo-of-iwoland-stopped-rain-from-falling-video.html, by Linda Ikeji at 09/09/19
